GpuFreq=control_disabled
Rank, world size, device count: 0, 4, 4
Distributed package available...[OK]
NCCL backend available...[OK]
Process group initialized successfully...[OK]
nccl backend used...[OK]
Epoch: 001/100 | Batch 0000/0043 | Averaged Loss: 2.3022
Epoch: 001/100 | Batch 0001/0043 | Averaged Loss: 2.3032
Epoch: 001/100 | Batch 0002/0043 | Averaged Loss: 2.3030
Epoch: 001/100 | Batch 0003/0043 | Averaged Loss: 2.3027
Epoch: 001/100 | Batch 0004/0043 | Averaged Loss: 2.3026
Epoch: 001/100 | Batch 0005/0043 | Averaged Loss: 2.3028
Epoch: 001/100 | Batch 0006/0043 | Averaged Loss: 2.3026
Epoch: 001/100 | Batch 0007/0043 | Averaged Loss: 2.3023
Epoch: 001/100 | Batch 0008/0043 | Averaged Loss: 2.3024
Epoch: 001/100 | Batch 0009/0043 | Averaged Loss: 2.3037
Epoch: 001/100 | Batch 0010/0043 | Averaged Loss: 2.3021
Epoch: 001/100 | Batch 0011/0043 | Averaged Loss: 2.3029
Epoch: 001/100 | Batch 0012/0043 | Averaged Loss: 2.3018
Epoch: 001/100 | Batch 0013/0043 | Averaged Loss: 2.3029
Epoch: 001/100 | Batch 0014/0043 | Averaged Loss: 2.3024
Epoch: 001/100 | Batch 0015/0043 | Averaged Loss: 2.3019
Epoch: 001/100 | Batch 0016/0043 | Averaged Loss: 2.3019
Epoch: 001/100 | Batch 0017/0043 | Averaged Loss: 2.3026
Epoch: 001/100 | Batch 0018/0043 | Averaged Loss: 2.3021
Epoch: 001/100 | Batch 0019/0043 | Averaged Loss: 2.3028
Epoch: 001/100 | Batch 0020/0043 | Averaged Loss: 2.3026
Epoch: 001/100 | Batch 0021/0043 | Averaged Loss: 2.3035
Epoch: 001/100 | Batch 0022/0043 | Averaged Loss: 2.3028
Epoch: 001/100 | Batch 0023/0043 | Averaged Loss: 2.3029
Epoch: 001/100 | Batch 0024/0043 | Averaged Loss: 2.3004
Epoch: 001/100 | Batch 0025/0043 | Averaged Loss: 2.3023
Epoch: 001/100 | Batch 0026/0043 | Averaged Loss: 2.3020
Epoch: 001/100 | Batch 0027/0043 | Averaged Loss: 2.3031
